id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/brakwaterfauna,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.brakwaterfauna,Fossiel van dierlijke oorsprong uit een brakwateromgeving (bv. estuarium).,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,brakwaterfauna,Fossiel van dierlijke oorsprong uit een brakwateromgeving (bv. estuarium).,brakwaterfauna,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/brakwaterichnofossiel,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.brakwaterichnofossiel,Sporenfossiel uit een brakwateromgeving.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,brakwaterichnofossiel,Sporenfossiel uit een brakwateromgeving.,brakwaterichnofossiel,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/fauna,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.fauna,Fossiel van dierlijke oorsprong.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,fauna,Fossiel van dierlijke oorsprong.,fauna,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/flora,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.flora,Fossiel van plantaardige oorsprong.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,flora,Fossiel van plantaardige oorsprong.,flora,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/ichnofossiel,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.ichnofossiel,Sporenfossiel.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,ichnofossiel,Sporenfossiel.,ichnofossiel,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/marienefauna,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.marienefauna,Fossiel van dierlijke oorsprong uit een mariene omgeving.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,marienefauna,Fossiel van dierlijke oorsprong uit een mariene omgeving.,mariene fauna,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/marienichnofossiel,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.marienichnofossiel,Sporenfossiel uit een mariene omgeving.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,marienichnofossiel,Sporenfossiel uit een mariene omgeving.,marien ichnofossiel,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/onbepaald,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.onbepaald,Fossiel van onbepaalde oorsprong.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,onbepaald,Fossiel van onbepaalde oorsprong.,onbepaald,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/zoetwaterfauna,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.zoetwaterfauna,Fossiel van dierlijke oorsprong uit een zoetwateromgeving.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,zoetwaterfauna,Fossiel van dierlijke oorsprong uit een zoetwateromgeving.,zoetwaterfauna,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/fossielaard/zoetwaterichnofossiel,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.zoetwaterichnofossiel,Sporenfossiel uit een zoetwateromgeving.,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,zoetwaterichnofossiel,Sporenfossiel uit een zoetwateromgeving.,zoetwaterichnofossiel,https://data.omgeving.vlaanderen.be/id/conceptscheme/fossielaard,null
