uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:fossielaarden,skos:Collection,fossielaarden,,,Collectie van fossielaarden.,,,,,,,,,,,,,cs,fossielaard,,,,,,
ct:5,skos:Concept,5,colt:fossielaarden,,brakwaterfauna,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:8,skos:Concept,8,colt:fossielaarden,,brakwaterichnofossiel,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:1,skos:Concept,1,colt:fossielaarden,,fauna,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:2,skos:Concept,2,colt:fossielaarden,,flora,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:3,skos:Concept,3,colt:fossielaarden,,ichnofossiel,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:4,skos:Concept,4,colt:fossielaarden,,mariene fauna,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:7,skos:Concept,7,colt:fossielaarden,,marien ichnofossiel,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:10,skos:Concept,10,colt:fossielaarden,,onbepaald,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:6,skos:Concept,6,colt:fossielaarden,,zoetwaterfauna,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
ct:9,skos:Concept,9,colt:fossielaarden,,zoetwaterichnofossiel,,,,,,,,,,,,,cs:fossielaard,,,,,,,cs:fossielaard
