uri,dc.identifier,notation,prefLabel,definition,inScheme,topConceptOf
conceptscheme:fossielaard,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.fossielaard,,lijst met soorten fossielen,"",,
concept:brakwaterfauna,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.brakwaterfauna,brakwaterfauna,brakwaterfauna,"Fossiel van dierlijke oorsprong uit een brakwateromgeving (bv. estuarium).",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:brakwaterichnofossiel,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.brakwaterichnofossiel,brakwaterichnofossiel,brakwaterichnofossiel,"Sporenfossiel uit een brakwateromgeving.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:fauna,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.fauna,fauna,fauna,"Fossiel van dierlijke oorsprong.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:flora,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.flora,flora,flora,"Fossiel van plantaardige oorsprong.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:ichnofossiel,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.ichnofossiel,ichnofossiel,ichnofossiel,"Sporenfossiel.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:marienefauna,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.marienefauna,marienefauna,mariene fauna,"Fossiel van dierlijke oorsprong uit een mariene omgeving.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:marienichnofossiel,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.marienichnofossiel,marienichnofossiel,marien ichnofossiel,"Sporenfossiel uit een mariene omgeving.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:onbepaald,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.onbepaald,onbepaald,onbepaald,"Fossiel van onbepaalde oorsprong.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:zoetwaterfauna,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.zoetwaterfauna,zoetwaterfauna,zoetwaterfauna,"Fossiel van dierlijke oorsprong uit een zoetwateromgeving.",conceptscheme:fossielaard,conceptscheme:fossielaard
concept:zoetwaterichnofossiel,be.vlaanderen.bodemenondergrond.data.id.concept.fossielaard.zoetwaterichnofossiel,zoetwaterichnofossiel,zoetwaterichnofossiel,"Sporenfossiel uit een zoetwateromgeving.",conceptscheme:fossielaard,conceptscheme:fossielaard
